#  3 Channels, Eigenvalue: 2 Energy:  -0.4956
# J:0.50 parity: 1
 # #channel #core Jc (l sn) jn
   0.000   -0.261662E-01  0.367540E-03 -0.326120E-02
   0.050   -0.643522E-01 -0.146871E-01  0.123320    
   0.100    -2.12903     -0.296484E-02 -0.247889E-02
   0.150    -3.22741     -0.968106E-02 -0.797575E-02
   0.200    -4.35773     -0.219484E-01 -0.177076E-01
   0.250    -5.51770     -0.405211E-01 -0.317776E-01
   0.300    -6.69667     -0.654313E-01 -0.494361E-01
   0.350    -7.87652     -0.960339E-01 -0.691447E-01
   0.400    -9.03353     -0.131141     -0.887508E-01
   0.450    -10.1412     -0.169221     -0.105736    
   0.500    -11.1732     -0.208618     -0.117497    
   0.550    -12.1063     -0.247773     -0.121611    
   0.600    -12.9230     -0.285388     -0.116044    
   0.650    -13.6121     -0.320540     -0.992834E-01
   0.700    -14.1702     -0.352708     -0.703765E-01
   0.750    -14.6001     -0.381735     -0.288814E-01
   0.800    -14.9101     -0.407735      0.252466E-01
   0.850    -15.1118     -0.430962      0.918090E-01
   0.900    -15.2182     -0.451673      0.170527    
   0.950    -15.2415     -0.469999      0.261185    
   1.000    -15.1921     -0.485856      0.363737    
   1.050    -15.0771     -0.498893      0.478359    
   1.100    -14.9007     -0.508486      0.605450    
   1.150    -14.6634     -0.513772      0.745584    
   1.200    -14.3639     -0.513720      0.899429    
   1.250    -13.9989     -0.507214       1.06765    
   1.300    -13.5653     -0.493145       1.25078    
   1.350    -13.0604     -0.470493       1.44919    
   1.400    -12.4832     -0.438399       1.66294    
   1.450    -11.8347     -0.396212       1.89176    
   1.500    -11.1185     -0.343513       2.13506    
   1.550    -10.3406     -0.280121       2.39188    
   1.600    -9.50892     -0.206079       2.66094    
   1.650    -8.63322     -0.121632       2.94069    
   1.700    -7.72426     -0.271981E-01   3.22931    
   1.750    -6.79328      0.766656E-01   3.52477    
   1.800    -5.85144      0.189288       3.82489    
   1.850    -4.90932      0.309904       4.12735    
   1.900    -3.97655      0.437675       4.42976    
   1.950    -3.06159      0.571690       4.72962    
   2.000    -2.17160      0.710974       5.02441    
   2.050    -1.31246      0.854486       5.31159    
   2.100   -0.488814       1.00112       5.58862    
   2.150    0.295737       1.14969       5.85299    
   2.200     1.03850       1.29898       6.10224    
   2.250     1.73748       1.44767       6.33403    
   2.300     2.39121       1.59442       6.54614    
   2.350     2.99864       1.73788       6.73650    
   2.400     3.55896       1.87666       6.90328    
   2.450     4.07158       2.00940       7.04488    
   2.500     4.53605       2.13480       7.15998    
   2.550     4.95210       2.25160       7.24756    
   2.600     5.31961       2.35867       7.30694    
   2.650     5.63866       2.45499       7.33777    
   2.700     5.90957       2.53969       7.34007    
   2.750     6.13295       2.61206       7.31418    
   2.800     6.30973       2.67158       7.26078    
   2.850     6.44116       2.71789       7.18089    
   2.900     6.52887       2.75083       7.07578    
   2.950     6.57483       2.77043       6.94701    
   3.000     6.58135       2.77689       6.79632    
   3.050     6.55106       2.77056       6.62568    
   3.100     6.48684       2.75197       6.43715    
   3.150     6.39177       2.72175       6.23291    
   3.200     6.26910       2.68067       6.01521    
   3.250     6.12217       2.62958       5.78629    
   3.300     5.95436       2.56940       5.54838    
   3.350     5.76900       2.50111       5.30366    
   3.400     5.56934       2.42569       5.05423    
   3.450     5.35851       2.34418       4.80207    
   3.500     5.13945       2.25759       4.54906    
   3.550     4.91489       2.16689       4.29691    
   3.600     4.68733       2.07305       4.04719    
   3.650     4.45900       1.97697       3.80131    
   3.700     4.23187       1.87951       3.56051    
   3.750     4.00767       1.78146       3.32587    
   3.800     3.78783       1.68355       3.09831    
   3.850     3.57355       1.58643       2.87858    
   3.900     3.36579       1.49069       2.66731    
   3.950     3.16529       1.39684       2.46495    
   4.000     2.97257       1.30531       2.27185    
   4.050     2.78801       1.21650       2.08824    
   4.100     2.61182       1.13070       1.91421    
   4.150     2.44406       1.04815       1.74980    
   4.200     2.28470      0.969058       1.59493    
   4.250     2.13363      0.893548       1.44946    
   4.300     1.99064      0.821713       1.31321    
   4.350     1.85550      0.753598       1.18590    
   4.400     1.72793      0.689213       1.06725    
   4.450     1.60761      0.628532      0.956934    
   4.500     1.49424      0.571503      0.854598    
   4.550     1.38749      0.518049      0.759874    
   4.600     1.28705      0.468073      0.672381    
   4.650     1.19261      0.421462      0.591734    
   4.700     1.10387      0.378091      0.517547    
   4.750     1.02057      0.337824      0.449436    
   4.800    0.942429      0.300520      0.387025    
   4.850    0.869208      0.266031      0.329947    
   4.900    0.800676      0.234211      0.277847    
   4.950    0.736618      0.204910      0.230383    
   5.000    0.676831      0.177980      0.187227    
   5.050    0.621125      0.153276      0.148068    
   5.100    0.569319      0.130657      0.112610    
   5.150    0.521239      0.109985      0.805712E-01
   5.200    0.476717      0.911271E-01  0.516893E-01
   5.250    0.435589      0.739575E-01  0.257158E-01
   5.300    0.397696      0.583548E-01  0.241827E-02
   5.350    0.362877      0.442039E-01 -0.184207E-01
   5.400    0.330974      0.313959E-01 -0.370039E-01
   5.450    0.301829      0.198281E-01 -0.535203E-01
   5.500    0.275284      0.940386E-02 -0.681456E-01
   5.550    0.251180      0.325440E-04 -0.810430E-01
   5.600    0.229359     -0.837070E-02 -0.923636E-01
   5.650    0.209662     -0.158851E-01 -0.102248    
   5.700    0.191933     -0.225844E-01 -0.110825    
   5.750    0.176016     -0.285372E-01 -0.118214    
   5.800    0.161758     -0.338073E-01 -0.124527    
   5.850    0.149010     -0.384538E-01 -0.129865    
   5.900    0.137624     -0.425312E-01 -0.134322    
