#Z   A   Spin   Magnetic moment (µN)   g-factor
52   130   2.0   0.58   0.29
52   131   1.5   0.696   0.46399999999999997
52   132   6.0   4.7   0.7833333333333333
52   134   6.0   5.08   0.8466666666666667
52   135   9.5   -3.8   -0.39999999999999997
53   117   2.5   3.1   1.24
53   118   2.0   2.0   1.0
53   119   2.5   2.90   1.16
53   120   2.0   1.23   0.615
53   121   2.5   2.3   0.9199999999999999
53   122   1.0   0.94   0.94
53   123   2.5   2.818   1.1272
53   124   2.0   1.446   0.723
53   125   2.5   2.821   1.1284
53   126   2.0   1.438   0.719
53   127   2.5   2.81327   1.125308
53   128   4.0   -0.72   -0.18
53   129   3.5   2.621   0.7488571428571429
53   130   5.0   3.349   0.6698000000000001
53   131   3.5   2.742   0.7834285714285715
53   132   4.0   3.088   0.772
53   133   3.5   2.856   0.816
54   117   2.5   -0.5938   -0.23752
54   119   2.5   -0.6542   -0.26168
54   121   2.5   -0.701   -0.2804
54   123   0.5   -0.15   -0.3
54   124   2.0   0.46   0.23
54   125   0.5   -0.269   -0.538
54   126   2.0   0.74   0.37
54   127   0.5   -0.5033   -1.0066
54   128   2.0   0.82   0.41
54   129   0.5   -0.777976   -1.555952
54   130   2.0   0.76   0.38
54   131   1.5   0.6915   0.461
54   132   2.0   0.74   0.37
54   133   1.5   0.8129   0.5419333333333333
54   134   2.0   1.1   0.55
54   135   1.5   0.9032   0.6021333333333333
54   136   2.0   2.4   1.2
54   137   3.5   -0.968   -0.2765714285714286
54   139   1.5   -0.304   -0.20266666666666666
54   141   2.5   0.01   0.004
54   143   2.5   -0.4599   -0.18395999999999998
55   118   2.0   3.876   1.938
55   119   4.5   5.46   1.2133333333333334
55   120   2.0   3.87   1.935
55   121   1.5   0.77   0.5133333333333333
55   122   1.0   -0.1333   -0.1333
55   123   0.5   1.377   2.754
55   124   1.0   0.673   0.673
55   125   0.5   1.409   2.818
55   126   1.0   0.777   0.777
55   127   0.5   1.459   2.918
55   128   1.0   0.974   0.974
55   129   0.5   1.491   2.982
55   130   1.0   1.46   1.46
55   131   2.5   3.53   1.412
55   132   2.0   2.222   1.111
55   133   3.5   2.582025   0.7377214285714285
55   134   4.0   2.9937   0.748425
55   135   3.5   2.7324   0.7806857142857143
55   136   5.0   3.711   0.7422
55   137   3.5   2.8513   0.8146571428571429
55   138   3.0   0.7   0.2333333333333333
55   139   3.5   2.696   0.7702857142857144
55   140   1.0   0.1338953   0.1338953
55   141   3.5   2.438   0.6965714285714286
55   143   1.5   0.87   0.58
55   144   1.0   -0.546   -0.546
55   145   1.5   0.784   0.5226666666666667
55   146   1.0   -0.515   -0.515
56   121   2.5   0.66   0.264
56   123   2.5   -0.68   -0.272
56   125   0.5   0.177   0.354
56   127   0.5   0.0834   0.1668
56   129   0.5   -0.4   -0.8
56   130   2.0   0.7   0.35
56   131   0.5   0.708113   1.416226
56   132   2.0   0.68   0.34
56   133   0.5   0.77167   1.54334
56   134   2.0   0.86   0.43
56   135   1.5   0.83794   0.5586266666666667
56   136   2.0   0.69   0.345
56   137   1.5   0.93737   0.6249133333333333
56   138   2.0   1.4   0.7
56   139   3.5   -0.973   -0.27799999999999997
56   141   1.5   -0.337   -0.22466666666666668
56   142   2.0   0.85   0.425
56   143   2.5   0.443   0.1772
56   144   2.0   0.68   0.34
56   145   2.5   -0.285   -0.11399999999999999
56   146   2.0   0.56   0.28
57   133   5.5   7.5   1.3636363636363635
57   135   13.5   0.0   0.0
57   137   3.5   2.695   0.7699999999999999
57   138   5.0   3.713646   0.7427292
57   139   3.5   2.7830455   0.7951558571428572
57   140   3.0   0.73   0.24333333333333332
58   126   10.0   10   1.0
58   134   10.0   -1.87   -0.187
58   135   9.5   -0.66   -0.06947368421052631
58   136   10.0   -1.8   -0.18
58   137   1.5   0.96   0.64
58   138   10.0   -1.7   -0.16999999999999998
58   139   1.5   1.06   0.7066666666666667
58   140   2.0   1.9   0.95
58   141   3.5   1.09   0.31142857142857144
58   142   2.0   0.42   0.21
58   143   1.5   0.43   0.2866666666666667
58   146   2.0   0.48   0.24
58   148   2.0   0.74   0.37
59   136   4.0   2.3   0.575
