#Z   A   Spin   Magnetic moment (µN)   g-factor
82   207   0.5   0.592583   1.185166
82   208   3.0   1.9   0.6333333333333333
82   209   4.5   -1.4735   -0.3274444444444444
82   210   6.0   -1.87   -0.3116666666666667
82   211   4.5   -1.4037   -0.31193333333333334
83   199   4.5   4.6   1.0222222222222221
83   201   4.5   4.8   1.0666666666666667
83   202   5.0   4.9   0.9800000000000001
83   203   4.5   4.017   0.8926666666666667
83   204   6.0   4.322   0.7203333333333334
83   205   4.5   4.605   1.0233333333333334
83   206   6.0   4.361   0.7268333333333333
83   207   4.5   4.081   0.906888888888889
83   208   5.0   4.633   0.9266
83   209   4.5   4.1103   0.9133999999999999
83   210   1.0   -0.04451   -0.04451
83   211   3.5   4.5   1.2857142857142858
83   212   1.0   0.41   0.41
83   213   4.5   3.89   0.8644444444444445
84   198   8.0   7.3   0.9125
84   199   6.5   0.99   0.1523076923076923
84   200   8.0   7.44   0.93
84   201   1.5   0.94   0.6266666666666666
84   202   8.0   7.45   0.93125
84   203   2.5   0.74   0.296
84   204   8.0   7.38   0.9225
84   205   2.5   0.76   0.304
84   206   8.0   7.34   0.9175
84   207   2.5   0.79   0.316
84   208   6.0   5.3   0.8833333333333333
84   209   0.5   0.68   1.36
84   210   6.0   5.48   0.9133333333333334
84   211   7.5   -0.38   -0.050666666666666665
85   207   12.5   3.75   0.3
85   208   10.0   2.69   0.269
85   209   10.5   10.0   0.9523809523809523
85   210   11.0   9.8   0.890909090909091
85   211   10.5   9.56   0.9104761904761905
85   212   11.0   5.94   0.54
85   217   4.5   3.8   0.8444444444444444
86   203   6.5   -0.96   -0.14769230769230768
86   205   2.5   0.802   0.32080000000000003
86   206   8.0   6.6   0.825
86   207   2.5   0.816   0.32639999999999997
86   208   8.0   6.98   0.8725
86   209   2.5   0.8388   0.33552
86   211   0.5   0.601   1.202
86   212   4.0   4.0   1.0
86   213   10.5   4.73   0.45047619047619053
86   219   2.5   -0.442   -0.1768
86   221   3.5   -0.02   -0.005714285714285714
86   222   2.0   0.92   0.46
86   223   7/2   -0.776   
86   225   3.5   -0.696   -0.19885714285714284
87   207   4.5   3.89   0.8644444444444445
87   208   7.0   4.75   0.6785714285714286
87   209   4.5   3.95   0.8777777777777778
87   210   6.0   4.4   0.7333333333333334
87   211   4.5   4.0   0.8888888888888888
87   212   5.0   4.62   0.924
87   213   4.5   4.02   0.8933333333333332
87   214   11.0   5.62   0.5109090909090909
87   220   1.0   -0.67   -0.67
87   221   2.5   1.58   0.632
87   222   2.0   0.63   0.315
87   223   1.5   1.17   0.7799999999999999
87   224   1.0   0.4   0.4
87   225   1.5   1.07   0.7133333333333334
87   226   1.0   0.0712   0.0712
87   227   0.5   1.5   3.0
87   228   2.0   -0.76   -0.38
88   209   2.5   0.865   0.346
88   211   2.5   0.878   0.3512
88   212   8.0   7.1   0.8875
88   213   0.5   0.613   1.226
88   214   8.0   7.08   0.885
88   215   21.5   15.78   0.733953488372093
88   221   2.5   -0.18   -0.072
88   223   1.5   0.271   0.18066666666666667
88   224   2.0   0.9   0.45
88   225   0.5   -0.7338   -1.4676
88   227   1.5   -0.404   -0.26933333333333337
88   229   2.5   0.503   0.2012
89   215   8.5   7.82   0.92
89   217   4.5   3.83   0.8511111111111112
89   227   1.5   1.1   0.7333333333333334
90   229   2.5   0.46   0.184
91   228   3.0   3.5   1.1666666666666667
91   230   2.0   2.0   1.0
91   231   2.0   2.01   1.005
91   233   1.5   4.0   2.6666666666666665
92   235   3.5   -0.38   -0.10857142857142857
93   237   2.5   3.14   1.256
93   239   2.5   2.0   0.8
94   239   0.5   0.203   0.406
94   241   2.5   -0.683   -0.2732
95   241   2.5   1.58   0.632
95   242   1.0   0.3879   0.3879
96   243   2.5   0.4   0.16
96   245   3.5   0.5   0.14285714285714285
96   247   4.5   0.36   0.08
97   249   3.5   2.0   0.5714285714285714
99   253   3.5   4.1   1.1714285714285713
99   254   2.0   2.9   1.45
