0.01 -0.26703
0.012 -0.087158
0.015 -0.021339
0.017 -0.0034502
0.02 -0.00027421
0.024 -4.8556e-06
0.027 3.692e-08
0.031 4.0304e-07
0.035 6.1423e-07
0.039 9.1474e-07
0.043 1.3345e-06
0.048 1.9112e-06
0.052 2.6919e-06
0.057 3.7347e-06
0.063 5.1107e-06
0.068 6.9066e-06
0.074 9.2268e-06
0.08 1.2197e-05
0.086 1.5967e-05
0.093 2.0715e-05
0.099 2.6651e-05
0.106 3.4025e-05
0.113 4.3128e-05
0.121 5.43e-05
0.128 6.7941e-05
0.136 8.4514e-05
0.144 0.00010456
0.152 0.0001287
0.161 0.00015765
0.169 0.00019226
0.178 0.00023348
0.188 0.00028244
0.197 0.00034039
0.207 0.00040884
0.217 0.00048946
0.227 0.00058423
0.237 0.00069538
0.248 0.00082554
0.258 0.00097768
0.269 0.0011553
0.281 0.0013623
0.292 0.0016035
0.304 0.0018842
0.316 0.0022106
0.328 0.0025901
0.341 0.0030312
0.353 0.003544
0.366 0.0041403
0.379 0.0048342
0.393 0.0056422
0.406 0.0065845
0.42 0.0076849
0.434 0.0089726
0.448 0.010483
0.463 0.01226
0.477 0.014359
0.492 0.016847
0.508 0.019812
0.523 0.023367
0.539 0.027661
0.555 0.032892
0.571 0.039332
0.587 0.047364
0.604 0.057543
0.62 0.070705
0.638 0.088169
0.655 0.11215
0.672 0.14666
0.69 0.19981
0.708 0.2908
0.726 0.47883
0.745 1.0798
0.763 114.463
0.782 126.9225
0.801 127.3971
0.821 127.56146
0.84 127.64373
0.86 127.69235
0.88 127.72387
0.9 127.7455
0.921 127.76087
0.942 127.77202
0.963 127.78016
0.984 127.78609
1.005 127.79032
1.027 127.79321
1.049 127.79503
1.071 127.79596
1.093 127.79614
1.116 127.79568
1.139 127.79466
1.162 127.79315
1.185 127.79121
1.208 127.78886
1.232 127.78615
1.256 127.78311
1.28 127.77975
1.305 127.77609
1.329 127.77215
1.354 127.76794
1.38 127.76348
1.405 127.75876
1.43 127.75381
1.456 127.74861
1.482 127.74319
1.509 127.73754
1.535 127.73166
1.562 127.72556
1.589 127.71924
1.616 127.7127
1.643 127.70594
1.671 127.69897
1.699 127.69178
1.727 127.68438
1.756 127.67676
1.784 127.66892
1.813 127.66087
1.842 127.6526
1.871 127.64411
1.901 127.6354
1.931 127.62647
1.96 127.61732
1.991 127.60795
2.021 127.59835
2.052 127.58853
2.083 127.57849
2.114 127.56821
2.145 127.55771
2.177 127.54698
2.209 127.53601
2.241 127.52481
2.273 127.51338
2.305 127.50171
2.338 127.4898
2.371 127.47765
2.404 127.46527
2.438 127.45263
2.471 127.43976
2.505 127.42664
2.54 127.41327
2.574 127.39965
2.608 127.38578
2.643 127.37166
2.678 127.35729
2.714 127.34266
2.749 127.32778
2.785 127.31264
2.821 127.29724
2.857 127.28158
2.894 127.26566
2.93 127.24948
2.967 127.23303
3.004 127.21631
3.042 127.19933
3.079 127.18209
3.117 127.16457
3.155 127.14679
3.193 127.12873
3.232 127.1104
3.271 127.0918
3.31 127.07293
3.349 127.05378
3.388 127.03436
3.428 127.01466
3.468 126.9947
3.508 126.9744
3.548 126.9539
3.589 126.9331
3.63 126.912
3.671 126.8906
3.712 126.869
3.754 126.847
3.795 126.8248
3.837 126.8023
3.88 126.7795
3.922 126.7565
3.965 126.7331
4.008 126.7095
4.051 126.6856
4.094 126.6614
4.138 126.6369
4.182 126.6121
4.226 126.5871
4.27 126.5617
4.314 126.5361
4.359 126.5102
4.404 126.484
4.449 126.4575
4.495 126.4308
4.541 126.4038
4.586 126.3764
4.633 126.3488
4.679 126.321
4.726 126.2928
4.772 126.2644
4.819 126.2356
4.867 126.2066
4.914 126.1773
4.962 126.1478
5.01 126.1179

